Break-even VOT (AED/min)
1.2
1.5
1.8
2.0
2.1
2.4
2.6
2.8
3.1
3.4
4.2
4.8
5.5
6.0
6.3
7.2
8.4
10.1
12.3
14.0
21.5
30.8
