Origin,Destination,Hour,Travel_Time_min,Toll_AED,Gate_Count
Marina,DXB,14,26.962102886589054,16,4
Marina,DXB,14,26.98162219372766,16,4
Marina,DXB,14,26.72164404987943,16,4
Marina,DXB,14,26.962888304189015,16,4
Marina,DXB,14,26.496747649539017,16,4
Marina,DXB,18,25.21230181457002,24,4
Marina,DXB,18,25.219557662555825,24,4
Marina,DXB,18,25.231035704108663,24,4
Marina,DXB,18,25.23170985014432,24,4
Marina,DXB,18,25.232029781829677,24,4
Marina,DXB,18,25.23369292514347,24,4
Marina,DXB,18,25.23729811472415,24,4
Marina,DXB,18,25.238291552094474,24,4
Marina,DXB,18,26.477339613964716,24,4
Marina,DXB,18,26.458605724426075,24,4
Marina,DXB,18,26.9808367761277,24,4
Marina,DXB,18,26.962102886589054,24,4
Marina,DXB,18,26.98162219372766,24,4
Marina,DXB,18,26.72164404987943,24,4
Marina,DXB,18,26.962888304189015,24,4
Marina,DXB,18,26.496747649539017,24,4
Marina,Mirdif,8,27.587077019994943,24,4
Marina,Mirdif,8,27.606485055569244,24,4
Marina,Mirdif,8,27.608468130568394,24,4
Marina,Mirdif,8,27.610876872381155,24,4
Marina,Mirdif,8,27.6278761661427,24,4
Marina,Mirdif,8,27.630284907955456,24,4
Marina,Mirdif,8,27.632267982954605,24,4
Marina,Mirdif,8,27.65167601852891,24,4
Marina,Mirdif,8,27.955832367449535,24,4
Marina,Mirdif,8,28.459329529612525,24,4
Marina,Mirdif,8,28.460114947212485,24,4
Marina,Mirdif,8,28.200136803364256,24,4
Marina,Mirdif,8,28.029654831190854,24,4
Marina,Mirdif,8,27.975240403023836,24,4
Marina,Mirdif,8,28.963612109375465,24,4
Marina,Mirdif,8,28.697196960448892,24,4
Marina,Mirdif,14,27.587077019994943,16,4
Marina,Mirdif,14,27.606485055569244,16,4
Marina,Mirdif,14,27.608468130568394,16,4
Marina,Mirdif,14,27.610876872381155,16,4
Marina,Mirdif,14,27.6278761661427,16,4
Marina,Mirdif,14,27.630284907955456,16,4
Marina,Mirdif,14,27.632267982954605,16,4
Marina,Mirdif,14,27.65167601852891,16,4
Marina,Mirdif,14,27.955832367449535,16,4
Marina,Mirdif,14,28.459329529612525,16,4
Marina,Mirdif,14,28.460114947212485,16,4
Marina,Mirdif,14,28.200136803364256,16,4
Marina,Mirdif,14,28.029654831190854,16,4
Marina,Mirdif,14,27.975240403023836,16,4
Marina,Mirdif,14,28.963612109375465,16,4
Marina,Mirdif,14,28.697196960448892,16,4
Marina,Mirdif,18,27.587077019994943,24,4
Marina,Mirdif,18,27.606485055569244,24,4
Marina,Mirdif,18,27.608468130568394,24,4
Marina,Mirdif,18,27.610876872381155,24,4
Marina,Mirdif,18,27.6278761661427,24,4
Marina,Mirdif,18,27.630284907955456,24,4
Marina,Mirdif,18,27.632267982954605,24,4
Marina,Mirdif,18,27.65167601852891,24,4
Marina,Mirdif,18,27.955832367449535,24,4
Marina,Mirdif,18,28.459329529612525,24,4
Marina,Mirdif,18,28.460114947212485,24,4
Marina,Mirdif,18,28.200136803364256,24,4
Marina,Mirdif,18,28.029654831190854,24,4
Marina,Mirdif,18,27.975240403023836,24,4
Marina,Mirdif,18,28.963612109375465,24,4
Marina,Mirdif,18,28.697196960448892,24,4
Marina,Qusais,8,25.480182062690453,24,4
Marina,Qusais,8,25.487738420608693,24,4
Marina,Qusais,8,25.490383393253566,24,4
Marina,Qusais,8,25.497939751171806,24,4
Marina,Qusais,8,25.499590098264754,24,4
Marina,Qusais,8,25.501573173263903,24,4
Marina,Qusais,8,25.505178362844585,24,4
Marina,Qusais,8,25.50714645618299,24,4
Marina,Qusais,8,26.44372731170678,24,4
Marina,Qusais,8,26.424993422168136,24,4
Marina,Qusais,8,26.947224473869763,24,4
Marina,Qusais,8,26.92849058433112,24,4
